Store ID,Width,Height,X,Y,MapName,StoreName,New Store ID,,
1,175,150,425,320,OP-1,Olive Garden,,,
2,118,150,434,668,p2b,Deseret Books,,,
3,100,20,434,828,p2a,Edible Arrangements,,,
4,100,20,434,858,p2c,?,,,
5,100,40,434,898,p2d?,Smash Burger,,,
6,40,50,1200,1960,?,Movie Ticket Kiosk,,,
7,140,130,2210,2086,v136,empty,,,
8,140,126,2410,2106,v138,empty,,,
9,234,234,2848,2004,?,Costco gas,,,
10,518,716,3372,1528,?,Costco,,,
11,134,74,2904,280,OP-4,In & Out Burger,,,
12,110,94,2588,318,OP-3,Wells Fargo,,,
13,88,108,2388,296,P8-9,Wingers,,,
14,38,108,2340,296,?,Jimmy Johns,,,
15,186,142,1896,276,M118,TC-Petco,,,
16,98,90,1970,524,TC7,Rue 21,,,
17,96,42,1970,624,TC6,?,,,
18,50,22,1970,676,TC5,?,,,
19,96,78,1970,708,TC4,Childrens Place,,,
20,64,66,1754,504,TC8,Frogurt,,,
21,54,114,1626,278,TC9A,Pizza Revolution,,,
22,42,108,1574,278,TC9B,?,,,
23,26,108,1538,278,TC9C,Rumbi Island Grill,,,
24,34,104,1494,278,TC9D,Spring Mobile,,,
25,110,70,1492,514,TC3B,Cafe Zupas,,,
26,106,26,1492,594,TC3A,Sweet Tooth Fairy,,,
27,110,36,1490,630,TC2,?,,,
28,110,118,1490,676,TC1,?,,,
29,46,104,1184,282,P5,Sushi Monster,,,
30,68,104,1106,280,P6A ,Cafe Rio,,,
31,24,98,1092,280,P6B,Jamba Juice,,,
32,34,98,1048,284,P7,Diamond wireless,,,
33,96,122,940,282,OP-2,TGI Fridays,,,
34,318,594,734,998,A100,JC Penny,,,
35,372,506,1606,1468,?,Megaplex 15,,,
36,224,134,2250,1472,?,Cinemark 9,,,
37,300,670,2602,1000,A101,Macy's,,,
38,166,112,2336,962,B152,Red Robin,,,
39,258,246,2006,874,B160,Ross,,,
40,146,156,1852,844,B170,Famous Footwear,,,
41,126,156,1624,844,C100,?,,,
42,202,240,1328,880,C154,Bed Bath and Beyond,,,
43,152,180,1060,940,C150,Ulta,,,
44,32,140,1110,1324,G124,Empty,,,
45,32,140,1150,1324,G120,The Bazzar,,,
46,32,140,1190,1324,G118,Fads and Fashion,,,
47,32,140,1230,1324,G116,Trinkets and Treasures,,,
48,32,140,1270,1324,G114,Wind and Water,,,
49,32,140,1310,1324,G112,X-Zone,,,
50,32,140,1350,1324,G110,Empty,,,
51,32,140,1390,1324,G108,Radio Shack,,,
52,32,140,1430,1324,G106,The Nerd Store,,,
53,32,140,1470,1324,G104,GNC,,,
54,32,140,1510,1324,G102,Boost Mobile,,,
55,32,140,1550,1324,G100,Moda Bella II,,,
56,32,140,1590,1324,F124,FIAT,,,
57,32,140,1630,1324,F120,Foot Action,,,
